,Date,GDPValue
0,2010-01-01,14764.61
1,2010-04-01,14980.193
2,2010-07-01,15141.607
3,2010-10-01,15309.474
4,2011-01-01,15351.448
5,2011-04-01,15557.539
6,2011-07-01,15647.68
7,2011-10-01,15842.259
8,2012-01-01,16068.805
9,2012-04-01,16207.115
10,2012-07-01,16319.541
11,2012-10-01,16420.419
12,2013-01-01,16648.189
13,2013-04-01,16728.687
14,2013-07-01,16953.838
15,2013-10-01,17192.019
16,2014-01-01,17197.738
17,2014-04-01,17518.508
18,2014-07-01,17804.228
19,2014-10-01,17912.079
20,2015-01-01,18063.529
21,2015-04-01,18279.784
22,2015-07-01,18401.626
23,2015-10-01,18435.137
24,2016-01-01,18525.933
25,2016-04-01,18711.702
26,2016-07-01,18892.639
27,2016-10-01,19089.379
28,2017-01-01,19280.084
29,2017-04-01,19438.643
30,2017-07-01,19692.595
31,2017-10-01,20037.088
32,2018-01-01,20328.553
33,2018-04-01,20580.912
34,2018-07-01,20798.73
35,2018-10-01,20917.867
36,2019-01-01,21104.133
37,2019-04-01,21384.775
38,2019-07-01,21694.282
39,2019-10-01,21902.39
40,2020-01-01,21706.513
41,2020-04-01,19913.143
42,2020-07-01,21647.64
43,2020-10-01,22024.502
44,2021-01-01,22600.185
45,2021-04-01,23292.362
46,2021-07-01,23828.973
47,2021-10-01,24654.603
48,2022-01-01,25029.116
49,2022-04-01,25544.273
50,2022-07-01,25994.639
51,2022-10-01,26408.405
52,2023-01-01,26813.601
53,2023-04-01,27063.012
54,2023-07-01,27610.128
