,Date,PPI_Index
0,2010-01-01,181.9
1,2010-02-01,181.0
2,2010-03-01,183.3
3,2010-04-01,184.4
4,2010-05-01,184.8
5,2010-06-01,183.5
6,2010-07-01,184.1
7,2010-08-01,184.9
8,2010-09-01,184.9
9,2010-10-01,186.6
10,2010-11-01,187.7
11,2010-12-01,189.7
12,2011-01-01,192.7
13,2011-02-01,195.8
14,2011-03-01,199.2
15,2011-04-01,203.1
16,2011-05-01,204.1
17,2011-06-01,203.9
18,2011-07-01,204.6
19,2011-08-01,203.2
20,2011-09-01,203.7
21,2011-10-01,201.1
22,2011-11-01,201.4
23,2011-12-01,199.8
24,2012-01-01,200.7
25,2012-02-01,201.6
26,2012-03-01,204.2
27,2012-04-01,203.7
28,2012-05-01,201.9
29,2012-06-01,199.8
30,2012-07-01,200.1
31,2012-08-01,202.7
32,2012-09-01,204.4
33,2012-10-01,203.5
34,2012-11-01,201.8
35,2012-12-01,201.5
36,2013-01-01,202.5
37,2013-02-01,204.3
38,2013-03-01,204.0
39,2013-04-01,203.5
40,2013-05-01,204.1
41,2013-06-01,204.3
42,2013-07-01,204.4
43,2013-08-01,204.2
44,2013-09-01,203.9
45,2013-10-01,202.5
46,2013-11-01,201.2
47,2013-12-01,202.0
48,2014-01-01,203.8
49,2014-02-01,205.7
50,2014-03-01,207.0
51,2014-04-01,208.3
52,2014-05-01,208.0
53,2014-06-01,208.3
54,2014-07-01,208.0
55,2014-08-01,207.0
56,2014-09-01,206.4
57,2014-10-01,203.4
58,2014-11-01,200.9
59,2014-12-01,197.0
60,2015-01-01,192.0
61,2015-02-01,191.1
62,2015-03-01,191.5
63,2015-04-01,190.9
64,2015-05-01,193.4
65,2015-06-01,194.8
66,2015-07-01,193.9
67,2015-08-01,191.9
68,2015-09-01,189.1
69,2015-10-01,187.5
70,2015-11-01,185.7
71,2015-12-01,183.5
72,2016-01-01,182.6
73,2016-02-01,181.3
74,2016-03-01,182.1
75,2016-04-01,183.2
76,2016-05-01,185.3
77,2016-06-01,187.6
78,2016-07-01,187.7
79,2016-08-01,186.6
80,2016-09-01,186.9
81,2016-10-01,186.7
82,2016-11-01,186.3
83,2016-12-01,188.2
84,2017-01-01,190.7
85,2017-02-01,191.6
86,2017-03-01,191.5
87,2017-04-01,193.0
88,2017-05-01,192.8
89,2017-06-01,193.6
90,2017-07-01,193.5
91,2017-08-01,193.8
92,2017-09-01,194.8
93,2017-10-01,194.9
94,2017-11-01,195.9
95,2017-12-01,196.3
96,2018-01-01,197.9
97,2018-02-01,199.3
98,2018-03-01,199.3
99,2018-04-01,200.3
100,2018-05-01,203.2
101,2018-06-01,204.2
102,2018-07-01,204.3
103,2018-08-01,203.4
104,2018-09-01,203.6
105,2018-10-01,204.6
106,2018-11-01,202.3
107,2018-12-01,201.0
108,2019-01-01,199.1
109,2019-02-01,199.2
110,2019-03-01,200.8
111,2019-04-01,202.1
112,2019-05-01,201.7
113,2019-06-01,200.3
114,2019-07-01,200.7
115,2019-08-01,199.2
116,2019-09-01,198.4
117,2019-10-01,198.6
118,2019-11-01,199.0
119,2019-12-01,199.0
120,2020-01-01,199.3
121,2020-02-01,196.7
122,2020-03-01,193.1
123,2020-04-01,185.5
124,2020-05-01,188.6
125,2020-06-01,191.2
126,2020-07-01,193.0
127,2020-08-01,194.3
128,2020-09-01,195.5
129,2020-10-01,196.5
130,2020-11-01,198.3
131,2020-12-01,200.5
132,2021-01-01,204.8
133,2021-02-01,210.6
134,2021-03-01,215.0
135,2021-04-01,217.9
136,2021-05-01,224.9
137,2021-06-01,228.9
138,2021-07-01,231.85
139,2021-08-01,233.415
140,2021-09-01,235.678
141,2021-10-01,240.465
142,2021-11-01,243.287
143,2021-12-01,241.338
144,2022-01-01,246.453
145,2022-02-01,252.66
146,2022-03-01,260.014
147,2022-04-01,265.31
148,2022-05-01,273.251
149,2022-06-01,280.251
150,2022-07-01,272.274
151,2022-08-01,269.546
152,2022-09-01,267.898
153,2022-10-01,265.061
154,2022-11-01,263.157
155,2022-12-01,257.897
156,2023-01-01,260.227
157,2023-02-01,258.669
158,2023-03-01,257.062
159,2023-04-01,256.908
160,2023-05-01,253.67
161,2023-06-01,253.86
162,2023-07-01,253.835
163,2023-08-01,257.674
164,2023-09-01,258.797
165,2023-10-01,255.033
166,2023-11-01,253.811
